当別町・新篠津村,石狩,01008
松前町(北海道)・福島町,松前,01067
知内町・木古内町,上磯,01021
七飯町,亀田,01024
鹿部町・森町(北海道),茅部,01025
八雲町,二海,01079
長万部町,山越,01071
江差町・上ノ国町・厚沢部町,檜山,01059
乙部町,爾志,01053
奥尻町,奥尻,01016
今金町,瀬棚,01040
せたな町,久遠,01028
島牧村,島牧,01034
寿都町・黒松内町,寿都,01039
蘭越町,磯谷,01009
豊浦町・洞爺湖町・ニセコ町・真狩村・留寿都村・喜茂別町・京極町・倶知安町,虻田,35003
共和町・岩内町,岩内,01010
泊村・神恵内村,古宇,01062
積丹町,積丹,01035
古平町,古平,01063
仁木町・余市町・赤井川村,余市,01075
南幌町・奈井江町・上砂川町・上富良野町・中富良野町・南富良野町,空知,44005
由仁町・長沼町・栗山町,夕張,01072
月形町・浦臼町・新十津川町,樺戸,01020
妹背牛町・秩父別町・雨竜町・北竜町・沼田町・幌加内町,雨竜,38002
鷹栖町・東神楽町・当麻町・比布町・愛別町・上川町・東川町・美瑛町,上川,09003
厚真町・安平町・むかわ町・占冠村,勇払,01055
和寒町・剣淵町・下川町,上川,09003
美深町・音威子府村・中川町,中川,28004
増毛町,増毛,01066
小平町,留萌,01077
苫前町・羽幌町・初山別村,苫前,01049
遠別町・天塩町・豊富町・幌延町,天塩,22010
猿払村,宗谷,01041
浜頓別町・中頓別町・枝幸町,枝幸,01015
礼文町,礼文,01078
利尻町・利尻富士町,利尻,01076
美幌町・津別町・大空町,網走,01005
斜里町・清里町・小清水町,斜里,01036
訓子府町・置戸町・佐呂間町,常呂,01048
遠軽町・湧別町・滝上町・興部町・西興部村・雄武町,紋別,01070
壮瞥町,有珠,01011
白老町,白老,01037
日高町(北海道)・平取町,沙流,01031
新冠町,新冠,01052
浦河町,浦河,01013
様似町,様似,01030
えりも町,幌泉,01064
新ひだか町,日高,26007
音更町・士幌町・上士幌町・鹿追町,河東,01019
新得町・清水町(北海道),上川,09003
芽室町・中札内村・更別村,河西,01018
大樹町・広尾町,広尾,01060
幕別町・池田町(北海道)・豊頃町・本別町,中川,28004
足寄町・陸別町,足寄町,01002
浦幌町,十勝,01047
釧路町,釧路,01027
厚岸町・浜中町,厚岸,01003
標茶町・弟子屈町,川上,31008
鶴居村,阿寒,01001
白糠町,白糠,01038
別海町,野付,01055
中標津町・標津町,標津,01033
羅臼町,目梨,01069
色丹村,色丹,27014
泊村・留夜別村,国後,23010
留別村,択捉,01023
紗那村,紗那,01036
蘂取村,蘂取,01059
平内町・今別町・蓬田村・外ヶ浜町,東津軽,02007
鰺ヶ沢町・深浦町,西津軽,02006
西目屋村,中津軽,02005
藤崎町・大鰐町・田舎館村,南津軽,02008
板柳町・鶴田町・中泊町,北津軽,02002
野辺地町・七戸町・六戸町・横浜町・東北町・六ヶ所村・おいらせ町,上北,02001
大間町・東通村・風間浦村・佐井村,下北,02004
三戸町・五戸町・田子町・南部町(青森)・階上町・新郷村,三戸,02003
雫石町・葛巻町・岩手町,岩手,03002
紫波町・矢巾町,紫波,03008
西和賀町,和賀,03013
金ケ崎町,胆沢,03001
平泉町,西磐井,03009
住田町,気仙,03006
大槌町,上閉伊,03004
山田町・岩泉町・田野畑村・普代村,下閉伊,03007
軽米町・野田村・九戸村・洋野町,九戸,03005
一戸町,二戸,03010
小坂町,鹿角,04002
上小阿仁村,北秋田,04004
藤里町・三種町・八峰町,山本,04008
五城目町・八郎潟町・井川町・大潟村,南秋田,04007
美郷町(秋田),仙北,04005
羽後町・東成瀬村,雄勝,04001
蔵王町・七ケ宿町,刈田,06003
大河原町・村田町・柴田町・川崎町(宮城),柴田,06008
丸森町,伊具,06001
亘理町・山元町,亘理,06016
松島町・七ヶ浜町・利府町,宮城,06013
大和町・大郷町・大衡村,黒川,06006
色麻町・加美町,加美,06004
涌谷町・美里町(宮城),遠田,06010
女川町,牡鹿,06002
南三陸町,本吉,06014
山辺町・中山町,東村山,05008
河北町・西川町・朝日町(山形)・大江町,西村山,05005
大石田町,北村山,05002
金山町(山形)・最上町・舟形町・真室川町・大蔵村・鮭川村・戸沢村,最上,05011
高畠町・川西町(山形),東置賜,05006
小国町(山形)・白鷹町・飯豊町,西置賜,05003
三川町・庄内町,東田川,05007
遊佐町,飽海,05001
桑折町・国見町・川俣町,伊達,07011
大玉村,安達,07002
鏡石町・天栄村,岩瀬,07005
下郷町・檜枝岐村・只見町・南会津町,南会津,07016
北塩原村・西会津町・磐梯町・猪苗代町,耶麻,07017
会津坂下町・湯川村・柳津町,河沼,07007
三島町・金山町(福島)・昭和村(福島)・会津美里町,大沼,07006
西郷村・泉崎村・中島村・矢吹町,西白河,07013
棚倉町・矢祭町・塙町・鮫川村,東白川,07014
石川町・玉川村・平田村・浅川町・古殿町,石川,30001
三春町・小野町,田村,07012
広野町・楢葉町・富岡町・川内村・大熊町・双葉町・浪江町・葛尾村,双葉,07015
新地町・飯舘村,相馬,07010
茨城町・大洗町・城里町,東茨城,14012
東海村,那珂,14008
大子町,久慈,14004
美浦村・阿見町・河内町,稲敷,14001
八千代町,結城,14014
五霞町・境町,猿島,14005
利根町,北相馬,14003
上三川町,河内,15004
益子町・茂木町・市貝町・芳賀町,芳賀,15008
壬生町・野木町,下都賀,15006
塩谷町・高根沢町,塩谷,15005
那須町・那珂川町,那須,15007
榛東村・吉岡町,北群馬,16005
上野村・神流町,多野,16009
下仁田町・南牧村(群馬)・甘楽町,甘楽,16004
中之条町・長野原町・嬬恋村・草津町・高山村(群馬)・東吾妻町,吾妻,16001
片品村・川場村・昭和村(群馬)・みなかみ町,利根,16010
玉村町,佐波,33007
板倉町・明和町(群馬)・千代田町・大泉町・邑楽町,邑楽,16003
伊奈町,北足立,13003
三芳町・毛呂山町・越生町,入間,13001
滑川町・嵐山町・小川町・川島町・吉見町・鳩山町・ときがわ町,比企,13008
横瀬町・皆野町・長瀞町・小鹿野町・東秩父村,秩父,13007
美里町(埼玉)・神川町・上里町,児玉,13006
寄居町,大里,13002
宮代町,南埼玉,13009
杉戸町・松伏町,北葛飾,13004
酒々井町・栄町,印旛,12004
神崎町・多古町・東庄町,香取,12006
九十九里町・芝山町・横芝光町,山武,12008
一宮町・睦沢町・長生村・白子町・長柄町・長南町,長生,12011
大多喜町・御宿町,夷隅,12002
鋸南町,安房,12001
瑞穂町・日の出町・檜原村・奥多摩町,西多摩,10002
大島町・利島村・新島村・神津島村・三宅村・御蔵島村・八丈町・青ヶ島村・小笠原村,島嶼部,01034
葉山町,三浦,11007
寒川町,高座,11004
大磯町・二宮町,中,22011
中井町・大井町・松田町・山北町・開成町,足柄上,11002
箱根町・真鶴町・湯河原町,足柄下,11003
愛川町・清川村,愛甲,11001
聖籠町,北蒲原,08004
弥彦村,西蒲原,08011
田上町,南蒲原,08016
阿賀町,東蒲原,08013
出雲崎町,三島,25006
湯沢町,南魚沼,08015
津南町,中魚沼,08008
刈羽村,刈羽,08002
関川村・粟島浦村,岩船,08001
舟橋村・上市町・立山町,中新川,28004
入善町・朝日町(富山),下新川,28003
川北町,能美,30006
津幡町・内灘町,河北,30004
志賀町・宝達志水町,羽咋,30007
中能登町,鹿島,30003
穴水町・能登町,鳳珠,30009
永平寺町,吉田,29011
池田町(福井),今立,29002
南越前町,南条,29008
越前町,丹生,29009
美浜町(福井),三方,29010
高浜町・おおい町,大飯,29003
若狭町,三方上中,29012
市川三郷町,西八代,17004
早川町・身延町・南部町(山梨)・富士川町,南巨摩,17007
昭和町,中巨摩,17003
道志村・西桂町・忍野村・山中湖村・鳴沢村・富士河口湖町,南都留,17008
小菅村・丹波山村,北都留,17002
小布施町・高山村(長野),上高井,09002
信濃町・小川村・飯綱町,上水内,09003
山ノ内町・木島平村・野沢温泉村,下高井,09009
栄村,下水内,09010
坂城町,埴科,09014
青木村・長和町,小県,09012
軽井沢町・御代田町・立科町,北佐久,09006
小海町・川上村(長野)・南牧村(長野)・南相木村・北相木村・佐久穂町,南佐久,09017
池田町(長野)・松川村・白馬村・小谷村,北安曇,09005
麻績村・生坂村・山形村・朝日村・筑北村,東筑摩,09015
上松町・南木曽町・木祖村・王滝村・大桑村・木曽町,木曽,09004
辰野町・箕輪町・飯島町・南箕輪村・中川村・宮田村,上伊那,09001
松川町・高森町(長野)・阿南町・阿智村・平谷村・根羽村・下條村・売木村・天龍村・泰阜村・喬木村・豊丘村・大鹿村,下伊那,09008
下諏訪町・富士見町・原村,諏訪,09011
岐南町・笠松町,羽島,19011
養老町,養老,19017
垂井町・関ケ原町,不破,19012
神戸町・輪之内町・安八町,安八,19001
揖斐川町・大野町・池田町(岐阜),揖斐,19003
北方町,本巣,19015
坂祝町・富加町・川辺町・七宗町・八百津町・白川町・東白川村,加茂,19008
御嵩町,可児,19007
白川村,大野,44003
東伊豆町・河津町・南伊豆町・松崎町・西伊豆町,賀茂,35004
函南町,田方,18010
清水町(静岡)・長泉町・小山町,駿東,18009
吉田町・川根本町,榛原,18011
森町(静岡),周智,18008
東郷町,愛知,23003
豊山町,西春日井,20007
大口町・扶桑町,丹羽,20009
大治町・蟹江町・飛島村,海部,37004
阿久比町・東浦町・南知多町・美浜町(愛知)・武豊町,知多,20005
幸田町,額田,20010
設楽町・東栄町・豊根村,北設楽,20004
木曽岬町,桑名,21009
東員町,員弁,21006
菰野町・朝日町(三重)・川越町,三重,21014
多気町・明和町(三重)・大台町,多気,21012
玉城町・度会町・大紀町・南伊勢町,度会,21016
紀北町,北牟婁,21008
御浜町・紀宝町,南牟婁,21015
日野町(滋賀)・竜王町,蒲生,23004
愛荘町,愛知,23003
豊郷町・甲良町・多賀町,犬上,23002
大山崎町,乙訓,22003
久御山町,久世,22006
井手町・宇治田原町,綴喜,22010
笠置町・和束町・精華町・南山城村,相楽,22008
京丹波町,船井,22012
伊根町・与謝野町,与謝,22014
島本町,三島,25006
豊能町・能勢町,豊能,25004
忠岡町,泉北,25003
熊取町・田尻町・岬町,泉南,25002
太子町(大阪)・河南町・千早赤阪村,南河内,25007
猪名川町,川辺,46007
多可町,多可,27016
稲美町・播磨町,加古,27007
市川町・福崎町・神河町,神崎,27011
太子町(兵庫),揖保,27005
上郡町,赤穂,27001
佐用町,佐用,27013
香美町・新温泉町,美方,27020
山添村,山辺,24009
平群町・三郷町・斑鳩町・安堵町,生駒,24001
川西町(奈良)・三宅町・田原本町,磯城,24005
曽爾村・御杖村,宇陀,24002
高取町・明日香村,高市,24007
上牧町・王寺町・広陵町・河合町,北葛城,24004
吉野町(奈良)・大淀町・下市町・黒滝村・天川村・野迫川村・十津川村・下北山村・上北山村・川上村(奈良)・東吉野村,吉野,24010
紀美野町,海草,26003
かつらぎ町・九度山町・高野町,伊都,26002
湯浅町・広川町(和歌山)・有田川町,有田,26001
美浜町(和歌山)・日高町(和歌山)・由良町・印南町・みなべ町・日高川町,日高,26007
白浜町・上富田町・すさみ町,西牟婁,26005
那智勝浦町・太地町・古座川町・北山村・串本町,東牟婁,26006
岩美町,岩美,34001
若桜町・智頭町・八頭町,八頭,34006
三朝町・湯梨浜町・琴浦町・北栄町,東伯,34004
日吉津村・大山町・南部町(鳥取)・伯耆町,西伯,34003
日南町・日野町(鳥取)・江府町,日野,34005
奥出雲町,仁多,32012
飯南町,飯石,32003
川本町・美郷町(島根)・邑南町,邑智,32004
津和野町・吉賀町,鹿足,32008
海士町・西ノ島町・知夫村・隠岐の島町,隠岐,32006
和気町,和気,31019
早島町,都窪,31015
里庄町,浅口,31003
矢掛町,小田,31006
新庄村,真庭,31017
鏡野町,苫田,31016
勝央町・奈義町,勝田,31007
西粟倉村,英田,31001
久米南町・美咲町,久米,31010
吉備中央町,加賀,31020
府中町・海田町・熊野町・坂町,安芸,39002
安芸太田町・北広島町,山県,35016
大崎上島町,豊田,35010
世羅町,世羅,35008
神石高原町,神石,35007
周防大島町,大島,46005
和木町,玖珂,33005
上関町・田布施町・平生町,熊毛,46009
阿武町,阿武,33002
勝浦町・上勝町,勝浦,37005
佐那河内村,名東,37008
石井町・神山町,名西,37007
那賀町,那賀,37006
牟岐町・美波町・海陽町,海部,37004
松茂町・北島町・藍住町・板野町・上板町,板野,37002
つるぎ町,美馬,37009
東みよし町,三好,37010
土庄町・小豆島町,小豆,36005
三木町,木田,36004
直島町,香川,36003
宇多津町・綾川町,綾歌,36001
琴平町・多度津町・まんのう町,仲多度,36006
上島町,越智,38003
久万高原町,上浮穴,38005
松前町(愛媛)・砥部町,伊予,38001
内子町,喜多,38006
伊方町,西宇和,38010
鬼北町・松野町,北宇和,38007
愛南町,南宇和,38012
東洋町・奈半利町・田野町・安田町・北川村・馬路村・芸西村,安芸,39002
本山町・大豊町,長岡,39006
土佐町・大川村,土佐,39005
いの町・仁淀川町,吾川,39001
中土佐町・佐川町・越知町・ 梼原町・日高村・津野町・四万十町,高岡,39004
大月町・三原村・黒潮町,幡多,39007
宇美町・篠栗町・志免町・須恵町・新宮町・久山町・粕屋町,糟屋,40005
芦屋町・水巻町・岡垣町・遠賀町,遠賀,40004
小竹町・鞍手町,鞍手,40007
桂川町,嘉穂,40006
筑前町・東峰村,朝倉,40001
大刀洗町,三井,40012
大木町,三潴,40014
広川町(福岡),八女,40018
香春町・添田町・糸田町・川崎町(福岡)・大任町・赤村・福智町,田川,40009
苅田町・みやこ町,京都,40015
吉富町・上毛町・築上町,築上,40011
吉野ヶ里町,神埼,41002
基山町・上峰町・みやき町,三養基,41008
玄海町,東松浦,41006
有田町,西松浦,41005
大町町・江北町・白石町,杵島,41003
太良町,藤津,41007
長与町・時津町,西彼杵,42006
東彼杵町・川棚町・波佐見町,東彼杵,42007
小値賀町・佐々町,北松浦,42004
新上五島町,南松浦,42009
美里町(熊本),下益城,43009
玉東町・南関町・長洲町・和水町,玉名,43010
大津町・菊陽町,菊池,43007
南小国町・小国町(熊本)・産山村・高森町(熊本)・西原村・南阿蘇村,阿蘇,43002
御船町・嘉島町・益城町・甲佐町・山都町,上益城,43005
氷川町,八代,43012
芦北町・津奈木町,葦北,43001
錦町・多良木町・湯前町・水上村・相良村・五木村・山江村・球磨村・あさぎり町,球磨,43008
苓北町,天草,43003
姫島村,東国東,44010
日出町,速見,44009
玖珠町・九重町,玖珠,44005
三股町,北諸県,45001
高原町,西諸県,45004
国富町・綾町,東諸県,45006
高鍋町・新富町・西米良村・木城町・川南町・都農町,児湯,45002
門川町・諸塚村・椎葉村・美郷町(宮崎),東臼杵,45005
高千穂町・日之影町・五ヶ瀬町,西臼杵,45003
三島村・十島村,鹿児島,46006
さつま町,薩摩,46010
長島町,出水,46003
湧水町,姶良,46001
大崎町,曽於,46011
東串良町・錦江町・南大隅町・肝付町,肝属,46008
中種子町・南種子町・屋久島町,熊毛,46009
大和村・宇検村・瀬戸内町・龍郷町・喜界町・徳之島町・天城町・伊仙町・和泊町・知名町・与論町,大島,46005
国頭村・大宜味村・東村・今帰仁村・本部町・恩納村・宜野座村・金武町・伊江村,国頭,47001
読谷村・嘉手納町・北谷町・北中城村・中城村・西原町,中頭,47003
与那原町・南風原町・渡嘉敷村・座間味村・粟国村・渡名喜村・南大東村・北大東村・伊平屋村・伊是名村・久米島町・八重瀬町,島尻,47002
多良間村,宮古,47004
竹富町・与那国町,八重山,47005
